date,category,resized_dimension,batch_size,color_augmentation,move_augmentation,model_type,loss,error_score,roc_auc,tpr,fpr
2026-07-10 19:20:20,bottle,"(128, 128)","16","True","True","convtl","mae","mse",0.939748201438849,0.9424460431654677,0.5
2026-07-10 19:21:57,transistor,"(128, 128)","16","True","True","convtl","mae","mse",0.7666666666666666,0.625,0.2
2026-07-10 19:26:08,cable,"(128, 128)","16","True","True","convtl","mae","mse",0.8131559220389805,0.6195652173913043,0.22413793103448276
2026-07-10 19:27:27,capsule,"(128, 128)","16","True","True","convtl","mae","mse",0.6023135221380136,0.29357798165137616,0.2608695652173913
2026-07-10 19:28:41,carpet,"(128, 128)","16","True","True","convtl","mae","mse",0.3623595505617977,0.25842696629213485,0.39285714285714285
2026-07-10 19:29:42,grid,"(128, 128)","16","True","True","convtl","mae","mse",0.7309941520467836,0.017543859649122806,0.0
2026-07-10 19:31:24,hazelnut,"(128, 128)","16","True","True","convtl","mae","mse",0.8085714285714286,0.7857142857142857,0.325
2026-07-10 19:32:35,leather,"(128, 128)","16","True","True","convtl","mae","mse",0.8590353260869565,0.9891304347826086,1.0
2026-07-10 19:34:02,metal_nut,"(128, 128)","16","True","True","convtl","mae","mse",0.8378816305645574,0.7298311444652908,0.3181818181818182
2026-07-10 19:35:21,pill,"(128, 128)","16","True","True","convtl","mae","mse",0.7392253136933987,0.6312056737588653,0.23076923076923078
2026-07-10 19:36:32,screw,"(128, 128)","16","True","True","convtl","mae","mse",0.05164992826398852,0.5714285714285714,1.0
2026-07-10 19:37:38,tile,"(128, 128)","16","True","True","convtl","mae","mse",0.7503607503607503,0.16666666666666666,0.0
2026-07-10 19:39:00,toothbrush,"(128, 128)","16","True","True","convtl","mae","mse",0.8027777777777778,0.6666666666666666,0.0
2026-07-10 19:40:33,wood,"(128, 128)","16","True","True","convtl","mae","mse",0.9543859649122807,0.85,0.0
2026-07-10 19:41:55,zipper,"(128, 128)","16","True","True","convtl","mae","mse",0.7507878151260504,0.7815126050420168,0.4375
2026-07-10 19:44:29,cable,"(64, 64)","16","True","True","convtl","mae","mse",0.7396926536731634,0.4891304347826087,0.1724137931034483
2026-07-10 19:45:38,capsule,"(64, 64)","16","True","True","convtl","mae","mse",0.5811727163940965,0.42201834862385323,0.391304347826087
2026-07-10 19:46:57,carpet,"(64, 64)","16","True","True","convtl","mae","mse",0.34991974317817015,0.25842696629213485,0.32142857142857145
2026-07-10 19:47:58,grid,"(64, 64)","16","True","True","convtl","mae","mse",0.7234753550543025,0.017543859649122806,0.0
2026-07-10 19:49:29,hazelnut,"(64, 64)","16","True","True","convtl","mae","mse",0.7821428571428574,0.6857142857142857,0.2
2026-07-10 19:50:32,leather,"(64, 64)","16","True","True","convtl","mae","mse",0.632133152173913,0.9782608695652174,1.0
2026-07-10 19:52:00,metal_nut,"(64, 64)","16","True","True","convtl","mae","mse",0.7804025243049633,0.7110694183864915,0.5
2026-07-10 19:53:20,pill,"(64, 64)","16","True","True","convtl","mae","mse",0.7054009819967266,0.5035460992907801,0.23076923076923078
2026-07-10 19:54:31,screw,"(64, 64)","16","True","True","convtl","mae","mse",0.0817790530846485,0.4117647058823529,0.975609756097561
2026-07-10 19:55:34,tile,"(64, 64)","16","True","True","convtl","mae","mse",0.8477633477633478,0.17857142857142858,0.0
2026-07-10 19:56:24,toothbrush,"(64, 64)","16","True","True","convtl","mae","mse",0.3666666666666667,0.2,0.25
2026-07-10 19:57:45,wood,"(64, 64)","16","True","True","convtl","mae","mse",0.9394736842105263,0.5166666666666667,0.05263157894736842
2026-07-10 19:59:00,zipper,"(64, 64)","16","True","True","convtl","mae","mse",0.5974264705882353,0.6554621848739496,0.46875
2026-07-10 21:29:19,cable,"(64, 64)","16","True","True","conv_dense","mae","mse",0.7374437781109445,0.5108695652173914,0.20689655172413793
2026-07-10 21:29:52,capsule,"(64, 64)","16","True","True","conv_dense","mae","mse",0.5400877542879936,0.2018348623853211,0.17391304347826086
2026-07-10 21:30:36,carpet,"(64, 64)","16","True","True","conv_dense","mae","mse",0.333868378812199,0.2696629213483146,0.35714285714285715
2026-07-10 21:31:03,grid,"(64, 64)","16","True","True","conv_dense","mae","mse",0.7151211361737677,0.0,0.0
2026-07-10 21:32:28,hazelnut,"(64, 64)","16","True","True","conv_dense","mae","mse",0.7860714285714285,0.45714285714285713,0.05
2026-07-10 21:33:55,leather,"(64, 64)","16","True","True","conv_dense","mae","mse",0.4555027173913043,0.7934782608695652,1.0
2026-07-10 21:35:25,metal_nut,"(64, 64)","16","True","True","conv_dense","mae","mse",0.787907214736483,0.7560975609756098,0.5454545454545454
2026-07-10 21:36:08,pill,"(64, 64)","16","True","True","conv_dense","mae","mse",0.7659574468085107,0.5602836879432624,0.2692307692307692
2026-07-10 21:37:42,screw,"(64, 64)","16","True","True","conv_dense","mae","mse",0.4601352736216438,0.3697478991596639,0.5121951219512195
2026-07-10 21:38:18,tile,"(64, 64)","16","True","True","conv_dense","mae","mse",0.6778499278499278,0.05952380952380952,0.0
2026-07-10 21:38:58,toothbrush,"(64, 64)","16","True","True","conv_dense","mae","mse",0.8027777777777778,0.2,0.0
2026-07-10 21:39:30,wood,"(64, 64)","16","True","True","conv_dense","mae","mse",0.9526315789473685,0.5,0.0
2026-07-10 21:39:51,zipper,"(64, 64)","16","True","True","conv_dense","mae","mse",0.5598739495798319,0.3025210084033613,0.34375
2026-07-10 22:41:45,bottle,"(64, 64)","16","True","True","conv_dense","mae","mse",0.9082733812949639,0.9100719424460432,0.45
2026-07-10 22:43:06,transistor,"(64, 64)","16","True","True","conv_dense","mae","mse",0.7341666666666666,0.55,0.16666666666666666
2026-07-11 18:00:34,bottle,"(128, 128)","16","False","False","convtl","mae","mse",0.9226618705035973,0.9424460431654677,0.55
2026-07-11 18:02:17,cable,"(128, 128)","16","False","False","convtl","mae","mse",0.7994752623688155,0.5978260869565217,0.1724137931034483
2026-07-11 18:03:35,capsule,"(128, 128)","16","False","False","convtl","mae","mse",0.6266453928998804,0.27522935779816515,0.2608695652173913
2026-07-11 18:04:53,carpet,"(128, 128)","16","False","False","convtl","mae","mse",0.35513643659711075,0.24719101123595505,0.39285714285714285
2026-07-11 18:05:55,grid,"(128, 128)","16","False","False","convtl","mae","mse",0.7309941520467836,0.017543859649122806,0.0
2026-07-11 18:07:37,hazelnut,"(128, 128)","16","False","False","convtl","mae","mse",0.8125,0.7714285714285715,0.325
2026-07-11 18:08:47,leather,"(128, 128)","16","False","False","convtl","mae","mse",0.7530570652173914,0.9891304347826086,1.0
2026-07-11 18:10:15,metal_nut,"(128, 128)","16","False","False","convtl","mae","mse",0.8369435442606175,0.7523452157598499,0.36363636363636365
2026-07-11 18:11:32,pill,"(128, 128)","16","False","False","convtl","mae","mse",0.7493180578286962,0.6099290780141844,0.3076923076923077
2026-07-11 18:12:40,screw,"(128, 128)","16","False","False","convtl","mae","mse",0.03402336544373847,0.5882352941176471,1.0
2026-07-11 18:13:42,tile,"(128, 128)","16","False","False","convtl","mae","mse",0.7803030303030304,0.27380952380952384,0.0
2026-07-11 18:14:59,toothbrush,"(128, 128)","16","False","False","convtl","mae","mse",0.7583333333333334,0.43333333333333335,0.25
2026-07-11 18:16:44,transistor,"(128, 128)","16","False","False","convtl","mae","mse",0.75375,0.65,0.25
2026-07-11 18:18:12,wood,"(128, 128)","16","False","False","convtl","mae","mse",0.9692982456140351,0.8166666666666667,0.0
2026-07-11 18:29:26,bottle,"(128, 128)","16","False","False","convtl","mse","mae",0.9649280575539568,0.9712230215827338,0.45
2026-07-11 18:31:35,cable,"(128, 128)","16","False","False","convtl","mse","mae",0.823088455772114,0.6413043478260869,0.13793103448275862
2026-07-11 18:33:21,capsule,"(128, 128)","16","False","False","convtl","mse","mae",0.6577582768248903,0.3577981651376147,0.21739130434782608
2026-07-11 18:34:41,carpet,"(128, 128)","16","False","False","convtl","mse","mae",0.3920545746388443,0.21348314606741572,0.25
2026-07-11 18:35:49,grid,"(128, 128)","16","False","False","convtl","mse","mae",0.8212197159565581,0.017543859649122806,0.0
2026-07-11 18:38:01,hazelnut,"(128, 128)","16","False","False","convtl","mse","mae",0.6157142857142858,0.8571428571428571,0.85
2026-07-11 18:39:37,leather,"(128, 128)","16","False","False","convtl","mse","mae",0.8420516304347826,0.9891304347826086,1.0
2026-07-11 18:41:23,metal_nut,"(128, 128)","16","False","False","convtl","mse","mae",0.8418898174995736,0.7617260787992496,0.36363636363636365
2026-07-11 18:43:09,pill,"(128, 128)","16","False","False","convtl","mse","mae",0.7397708674304418,0.5390070921985816,0.11538461538461539
2026-07-11 18:44:40,screw,"(128, 128)","16","False","False","convtl","mse","mae",0.0276696044271367,0.44537815126050423,1.0
2026-07-11 18:45:42,tile,"(128, 128)","16","False","False","convtl","mse","mae",0.6381673881673882,0.11904761904761904,0.0
2026-07-11 18:47:10,toothbrush,"(128, 128)","16","False","False","convtl","mse","mae",0.9805555555555556,0.8333333333333334,0.0
2026-07-11 18:49:11,transistor,"(128, 128)","16","False","False","convtl","mse","mae",0.8333333333333334,0.8,0.3
2026-07-11 18:50:48,wood,"(128, 128)","16","False","False","convtl","mse","mae",0.962280701754386,0.8,0.0
2026-07-11 18:52:13,zipper,"(128, 128)","16","False","False","convtl","mse","mae",0.7263655462184874,0.5630252100840336,0.125
2026-07-11 18:59:45,bottle,"(64, 64)","16","False","False","dense","mse","mae",0.8913669064748202,0.9172661870503597,0.5
2026-07-11 19:02:19,cable,"(64, 64)","16","False","False","dense","mse","mae",0.737256371814093,0.5434782608695652,0.22413793103448276
2026-07-11 19:03:02,capsule,"(64, 64)","16","False","False","dense","mse","mae",0.47746310331073,0.027522935779816515,0.17391304347826086
2026-07-12 15:08:16,bottle,"(128, 128)","16","False","False","convtl_dense","mse","mae",0.93363309352518,0.9460431654676259,0.55
2026-07-12 15:11:51,cable,"(128, 128)","16","False","False","convtl_dense","mse","mae",0.8092203898050975,0.6956521739130435,0.2413793103448276
2026-07-12 15:19:15,capsule,"(128, 128)","8","False","False","convtl_dense","mse","mae",0.7120063821300359,0.5688073394495413,0.30434782608695654
2026-07-12 15:21:19,carpet,"(128, 128)","8","False","False","convtl_dense","mse","mae",0.49478330658105946,0.33707865168539325,0.25
2026-07-12 15:25:12,grid,"(128, 128)","8","False","False","convtl_dense","mse","mae",0.8078529657477026,0.017543859649122806,0.0
2026-07-12 15:29:00,hazelnut,"(128, 128)","8","False","False","convtl_dense","mse","mae",0.6060714285714286,0.8571428571428571,0.75
2026-07-12 15:33:32,leather,"(128, 128)","8","False","False","convtl_dense","mse","mae",0.883491847826087,0.9891304347826086,1.0
2026-07-12 15:37:16,metal_nut,"(128, 128)","8","False","False","convtl_dense","mse","mae",0.8308033429984648,0.7354596622889306,0.2727272727272727
